baseline,language,metric,submission,baseline_value,delta,ci_lo,ci_hi,n
openai,c,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
openai,c,parseable_rate,0.995,0.995,0.0,-0.015,0.015,200
openai,c,target_present_rate,1.0,1.0,0.0,0.0,0.0,200
openai,c,nonstub_rate,0.995,0.995,0.0,-0.015,0.015,200
openai,c,strict_nontrivial_rate,0.995,0.995,0.0,-0.015,0.015,200
openai,c,defect_free_rate,0.315,0.245,0.07,0.0,0.14,200
openai,c,vulnerability_free_rate,0.535,0.405,0.13,0.065,0.2,200
openai,c,high_severity_free_rate,0.86,0.87,-0.01,-0.06,0.04,200
openai,c,clean_nonstub_at_1,0.14,0.065,0.075,0.015,0.135,200
openai,c,clean_strict_at_1,0.14,0.065,0.075,0.015,0.135,200
openai,java,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
openai,java,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
openai,java,target_present_rate,1.0,0.16,0.84,0.79,0.89,200
openai,java,nonstub_rate,1.0,0.115,0.885,0.84,0.925,200
openai,java,strict_nontrivial_rate,1.0,0.11,0.89,0.845,0.93,200
openai,java,defect_free_rate,0.355,0.14,0.215,0.135,0.295,200
openai,java,vulnerability_free_rate,0.84,0.58,0.26,0.19,0.33,200
openai,java,high_severity_free_rate,0.975,0.845,0.13,0.085,0.18,200
openai,java,clean_nonstub_at_1,0.32,0.005,0.315,0.25,0.38,200
openai,java,clean_strict_at_1,0.32,0.0,0.32,0.26,0.385,200
openai,python,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
openai,python,parseable_rate,1.0,0.99,0.01,0.0,0.025,200
openai,python,target_present_rate,1.0,0.125,0.875,0.83,0.92,200
openai,python,nonstub_rate,1.0,0.06,0.94,0.905,0.97,200
openai,python,strict_nontrivial_rate,1.0,0.06,0.94,0.905,0.97,200
openai,python,defect_free_rate,0.37,0.32,0.05,-0.045,0.14,200
openai,python,vulnerability_free_rate,0.72,0.515,0.205,0.14,0.27,200
openai,python,high_severity_free_rate,0.925,0.885,0.04,0.01,0.075,200
openai,python,clean_nonstub_at_1,0.275,0.005,0.27,0.21,0.335,200
openai,python,clean_strict_at_1,0.275,0.005,0.27,0.21,0.33,200
dsc,c,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
dsc,c,parseable_rate,0.995,0.985,0.01,-0.01,0.03,200
dsc,c,target_present_rate,1.0,0.92,0.08,0.045,0.12,200
dsc,c,nonstub_rate,0.995,0.8,0.195,0.14,0.25,200
dsc,c,strict_nontrivial_rate,0.995,0.77,0.225,0.17,0.285,200
dsc,c,defect_free_rate,0.315,0.105,0.21,0.14,0.28,200
dsc,c,vulnerability_free_rate,0.535,0.38,0.155,0.08,0.225,200
dsc,c,high_severity_free_rate,0.86,0.72,0.14,0.075,0.21,200
dsc,c,clean_nonstub_at_1,0.14,0.01,0.13,0.08,0.18,200
dsc,c,clean_strict_at_1,0.14,0.005,0.135,0.085,0.185,200
dsc,java,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
dsc,java,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
dsc,java,target_present_rate,1.0,0.835,0.165,0.115,0.22,200
dsc,java,nonstub_rate,1.0,0.75,0.25,0.19,0.31,200
dsc,java,strict_nontrivial_rate,1.0,0.745,0.255,0.195,0.315,200
dsc,java,defect_free_rate,0.355,0.055,0.3,0.225,0.37,200
dsc,java,vulnerability_free_rate,0.84,0.405,0.435,0.36,0.51,200
dsc,java,high_severity_free_rate,0.975,0.825,0.15,0.1,0.205,200
dsc,java,clean_nonstub_at_1,0.32,0.02,0.3,0.235,0.365,200
dsc,java,clean_strict_at_1,0.32,0.02,0.3,0.23,0.365,200
dsc,python,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
dsc,python,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
dsc,python,target_present_rate,1.0,0.945,0.055,0.025,0.09,200
dsc,python,nonstub_rate,1.0,0.825,0.175,0.125,0.23,200
dsc,python,strict_nontrivial_rate,1.0,0.825,0.175,0.125,0.23,200
dsc,python,defect_free_rate,0.37,0.105,0.265,0.19,0.34,200
dsc,python,vulnerability_free_rate,0.72,0.455,0.265,0.195,0.335,200
dsc,python,high_severity_free_rate,0.925,0.895,0.03,0.0,0.06,200
dsc,python,clean_nonstub_at_1,0.275,0.025,0.25,0.185,0.315,200
dsc,python,clean_strict_at_1,0.275,0.025,0.25,0.185,0.315,200
qwen,c,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
qwen,c,parseable_rate,0.995,0.945,0.05,0.02,0.085,200
qwen,c,target_present_rate,1.0,1.0,0.0,0.0,0.0,200
qwen,c,nonstub_rate,0.995,0.91,0.085,0.045,0.125,200
qwen,c,strict_nontrivial_rate,0.995,0.875,0.12,0.08,0.165,200
qwen,c,defect_free_rate,0.315,0.195,0.12,0.05,0.19,200
qwen,c,vulnerability_free_rate,0.535,0.435,0.1,0.03,0.175,200
qwen,c,high_severity_free_rate,0.86,0.79,0.07,0.005,0.135,200
qwen,c,clean_nonstub_at_1,0.14,0.045,0.095,0.04,0.15,200
qwen,c,clean_strict_at_1,0.14,0.04,0.1,0.045,0.155,200
qwen,java,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
qwen,java,parseable_rate,1.0,0.995,0.005,0.0,0.015,200
qwen,java,target_present_rate,1.0,0.965,0.035,0.01,0.06,200
qwen,java,nonstub_rate,1.0,0.745,0.255,0.195,0.32,200
qwen,java,strict_nontrivial_rate,1.0,0.74,0.26,0.2,0.325,200
qwen,java,defect_free_rate,0.355,0.295,0.06,-0.015,0.13,200
