scope,author,cwe,count
ALL,claude,CWE-1104,2
ALL,claude,CWE-116,2
ALL,claude,CWE-120,61
ALL,claude,CWE-126,38
ALL,claude,CWE-190,1
ALL,claude,CWE-20,11
ALL,claude,CWE-276,1
ALL,claude,CWE-319,4
ALL,claude,CWE-327,3
ALL,claude,CWE-330,3
ALL,claude,CWE-362,18
ALL,claude,CWE-377,2
ALL,claude,CWE-400,6
ALL,claude,CWE-470,4
ALL,claude,CWE-501,1
ALL,claude,CWE-532,13
ALL,claude,CWE-611,11
ALL,claude,CWE-614,1
ALL,claude,CWE-676,23
ALL,claude,CWE-706,1
ALL,claude,CWE-732,1
ALL,claude,CWE-78,33
ALL,claude,CWE-79,3
ALL,claude,CWE-798,2
ALL,claude,CWE-89,4
ALL,claude,CWE-939,4
ALL,claude,CWE-95,5
ALL,human,CWE-116,1
ALL,human,CWE-120,47
ALL,human,CWE-125,2
ALL,human,CWE-126,36
ALL,human,CWE-134,2
ALL,human,CWE-14,1
ALL,human,CWE-190,2
ALL,human,CWE-20,11
ALL,human,CWE-22,1
ALL,human,CWE-319,2
ALL,human,CWE-327,5
ALL,human,CWE-330,3
ALL,human,CWE-362,9
ALL,human,CWE-377,1
ALL,human,CWE-400,7
ALL,human,CWE-415,1
ALL,human,CWE-467,1
ALL,human,CWE-470,1
ALL,human,CWE-489,5
ALL,human,CWE-501,1
ALL,human,CWE-532,7
ALL,human,CWE-611,4
ALL,human,CWE-649,1
ALL,human,CWE-676,28
ALL,human,CWE-706,1
ALL,human,CWE-732,1
ALL,human,CWE-754,5
ALL,human,CWE-78,12
ALL,human,CWE-79,1
ALL,human,CWE-798,1
ALL,human,CWE-89,5
ALL,human,CWE-939,2
ALL,human,CWE-95,4
ALL,openai,CWE-1004,1
ALL,openai,CWE-1104,2
ALL,openai,CWE-116,2
ALL,openai,CWE-120,73
ALL,openai,CWE-125,2
ALL,openai,CWE-126,50
ALL,openai,CWE-190,6
ALL,openai,CWE-20,11
ALL,openai,CWE-209,3
ALL,openai,CWE-22,16
ALL,openai,CWE-259,2
ALL,openai,CWE-276,1
ALL,openai,CWE-295,2
ALL,openai,CWE-319,7
ALL,openai,CWE-326,1
ALL,openai,CWE-327,6
ALL,openai,CWE-328,5
ALL,openai,CWE-330,7
ALL,openai,CWE-352,1
ALL,openai,CWE-362,25
ALL,openai,CWE-377,2
ALL,openai,CWE-400,26
ALL,openai,CWE-470,4
ALL,openai,CWE-476,1
ALL,openai,CWE-489,30
ALL,openai,CWE-501,1
ALL,openai,CWE-502,2
ALL,openai,CWE-532,26
ALL,openai,CWE-611,15
ALL,openai,CWE-614,1
ALL,openai,CWE-676,27
ALL,openai,CWE-706,2
ALL,openai,CWE-732,1
ALL,openai,CWE-776,4
ALL,openai,CWE-78,47
ALL,openai,CWE-79,2
ALL,openai,CWE-798,8
ALL,openai,CWE-89,9
ALL,openai,CWE-918,1
ALL,openai,CWE-939,6
ALL,openai,CWE-94,1
ALL,openai,CWE-95,6
ALL,dsc,CWE-1004,1
ALL,dsc,CWE-1104,2
ALL,dsc,CWE-116,2
ALL,dsc,CWE-120,83
ALL,dsc,CWE-125,2
ALL,dsc,CWE-126,49
ALL,dsc,CWE-190,4
ALL,dsc,CWE-20,10
ALL,dsc,CWE-209,15
ALL,dsc,CWE-22,19
ALL,dsc,CWE-259,4
ALL,dsc,CWE-276,1
ALL,dsc,CWE-295,1
ALL,dsc,CWE-319,16
ALL,dsc,CWE-321,3
ALL,dsc,CWE-326,2
ALL,dsc,CWE-327,12
ALL,dsc,CWE-328,3
ALL,dsc,CWE-330,7
ALL,dsc,CWE-352,1
ALL,dsc,CWE-362,20
ALL,dsc,CWE-377,1
ALL,dsc,CWE-400,39
ALL,dsc,CWE-470,4
ALL,dsc,CWE-476,1
ALL,dsc,CWE-489,71
ALL,dsc,CWE-501,1
ALL,dsc,CWE-502,1
ALL,dsc,CWE-532,59
ALL,dsc,CWE-611,16
ALL,dsc,CWE-614,1
ALL,dsc,CWE-676,63
ALL,dsc,CWE-706,2
ALL,dsc,CWE-732,1
ALL,dsc,CWE-776,5
ALL,dsc,CWE-78,47
ALL,dsc,CWE-79,3
ALL,dsc,CWE-798,8
ALL,dsc,CWE-89,11
ALL,dsc,CWE-94,1
ALL,dsc,CWE-95,5
ALL,qwen,CWE-1004,1
ALL,qwen,CWE-1104,1
ALL,qwen,CWE-116,2
ALL,qwen,CWE-120,65
ALL,qwen,CWE-126,48
ALL,qwen,CWE-190,4
ALL,qwen,CWE-20,11
ALL,qwen,CWE-209,9
ALL,qwen,CWE-22,1
ALL,qwen,CWE-295,2
ALL,qwen,CWE-319,7
ALL,qwen,CWE-326,3
ALL,qwen,CWE-327,8
ALL,qwen,CWE-328,3
ALL,qwen,CWE-330,5
ALL,qwen,CWE-352,1
ALL,qwen,CWE-362,20
ALL,qwen,CWE-367,1
ALL,qwen,CWE-377,3
ALL,qwen,CWE-400,27
ALL,qwen,CWE-415,1
