scope,author,metric,incidence
ALL,claude,ODC:Assignment,0.1883
ALL,claude,ODC:Algorithm,0.165
ALL,claude,ODC:Interface,0.2533
ALL,claude,ODC:Checking,0.2333
ALL,claude,ODC:Timing/Serialization,0.0783
ALL,claude,ODC:Function/Class/Object,0.03
ALL,claude,any_defect,0.6533
ALL,claude,any_vulnerability,0.3017
ALL,human,ODC:Assignment,0.2233
ALL,human,ODC:Algorithm,0.2017
ALL,human,ODC:Interface,0.225
ALL,human,ODC:Checking,0.175
ALL,human,ODC:Timing/Serialization,0.0683
ALL,human,ODC:Function/Class/Object,0.0283
ALL,human,any_defect,0.6383
ALL,human,any_vulnerability,0.2267
ALL,openai,ODC:Assignment,0.2667
ALL,openai,ODC:Algorithm,0.2217
ALL,openai,ODC:Interface,0.29
ALL,openai,ODC:Checking,0.29
ALL,openai,ODC:Timing/Serialization,0.0783
ALL,openai,ODC:Function/Class/Object,0.1167
ALL,openai,any_defect,0.765
ALL,openai,any_vulnerability,0.5
ALL,dsc,ODC:Assignment,0.3083
ALL,dsc,ODC:Algorithm,0.2317
ALL,dsc,ODC:Interface,0.3483
ALL,dsc,ODC:Checking,0.4317
ALL,dsc,ODC:Timing/Serialization,0.13
ALL,dsc,ODC:Function/Class/Object,0.2683
ALL,dsc,any_defect,0.9117
ALL,dsc,any_vulnerability,0.5867
ALL,qwen,ODC:Assignment,0.3683
ALL,qwen,ODC:Algorithm,0.2367
ALL,qwen,ODC:Interface,0.28
ALL,qwen,ODC:Checking,0.24
ALL,qwen,ODC:Timing/Serialization,0.0983
ALL,qwen,ODC:Function/Class/Object,0.1683
ALL,qwen,any_defect,0.7883
ALL,qwen,any_vulnerability,0.4467
python,claude,ODC:Assignment,0.295
python,claude,ODC:Algorithm,0.015
python,claude,ODC:Interface,0.33
python,claude,ODC:Checking,0.195
python,claude,ODC:Timing/Serialization,0.0
python,claude,ODC:Function/Class/Object,0.01
python,claude,any_defect,0.63
python,claude,any_vulnerability,0.28
python,human,ODC:Assignment,0.255
python,human,ODC:Algorithm,0.145
python,human,ODC:Interface,0.315
python,human,ODC:Checking,0.16
python,human,ODC:Timing/Serialization,0.0
python,human,ODC:Function/Class/Object,0.015
python,human,any_defect,0.62
python,human,any_vulnerability,0.155
python,openai,ODC:Assignment,0.285
python,openai,ODC:Algorithm,0.105
python,openai,ODC:Interface,0.27
python,openai,ODC:Checking,0.325
python,openai,ODC:Timing/Serialization,0.0
python,openai,ODC:Function/Class/Object,0.06
python,openai,any_defect,0.68
python,openai,any_vulnerability,0.485
python,dsc,ODC:Assignment,0.545
python,dsc,ODC:Algorithm,0.105
python,dsc,ODC:Interface,0.365
python,dsc,ODC:Checking,0.395
