Language,Author,NLOC,CCN,PC,MND,V,D,MI
python,Human,13.43±11.22,3.76±3.51,3.12±2.30,1.28±1.13,681.16±757.44,15.57±8.48,59.05±9.94
python,OpenAI GPT,5.06±2.24,1.90±0.86,2.35±1.44,0.66±0.80,230.85±179.91,9.64±3.26,70.89±6.89
python,DeepSeek,7.79±4.83,2.40±1.70,2.94±2.06,1.02±1.04,343.97±237.38,12.40±6.05,65.70±9.06
python,Qwen,10.48±7.20,3.18±2.45,2.77±1.84,1.16±0.87,543.98±448.00,15.25±7.34,61.87±9.36
python,Claude,13.26±7.44,3.66±2.56,3.10±2.26,1.30±0.98,587.52±423.22,17.40±7.37,58.19±8.32
java,Human,15.30±12.99,3.42±3.21,1.59±1.24,1.17±1.21,671.23±706.18,16.27±7.98,57.79±9.90
java,OpenAI GPT,12.64±4.13,2.80±1.13,1.48±0.96,1.48±0.75,471.62±193.52,16.44±5.22,57.97±5.56
java,DeepSeek,10.30±4.80,2.47±1.41,1.43±1.05,1.13±0.98,407.20±251.99,14.29±6.01,61.79±7.34
java,Qwen,12.39±6.81,3.14±2.25,1.47±1.04,1.35±1.00,520.49±364.09,16.20±7.03,59.29±7.95
java,Claude,14.52±9.02,3.80±2.89,1.57±1.24,1.48±1.12,617.09±460.55,17.35±7.72,57.25±8.57
c,Human,29.61±23.38,7.06±6.33,2.56±1.66,1.31±1.06,1201.18±1066.35,26.97±12.89,48.83±9.96
c,OpenAI GPT,19.42±9.95,6.60±3.88,2.54±1.65,1.27±0.95,842.16±471.25,28.03±12.22,52.15±6.78
c,DeepSeek,12.21±5.05,3.11±1.67,2.12±1.34,1.08±0.65,438.91±214.86,16.91±6.65,58.92±6.12
c,Qwen,16.92±8.33,4.01±2.24,2.42±1.39,1.36±0.85,649.78±367.98,21.58±8.95,55.27±7.35
c,Claude,23.30±12.15,6.12±3.90,2.54±1.66,1.09±0.90,907.05±582.73,27.51±11.68,50.56±7.39
