Language,Author,N,Defective Samples,Defective %,Vulnerable Samples,Vulnerable %,Total Defects
python,Human,200,124,62.0,31,15.5,284
python,OpenAI GPT,200,136,68.0,97,48.5,296
python,DeepSeek,200,179,89.5,109,54.5,480
python,Qwen,200,171,85.5,83,41.5,649
python,Claude,200,126,63.0,56,28.0,239
java,Human,200,115,57.5,25,12.5,268
java,OpenAI GPT,200,172,86.0,84,42.0,542
java,DeepSeek,200,189,94.5,119,59.5,699
java,Qwen,200,141,70.5,72,36.0,466
java,Claude,200,129,64.5,32,16.0,313
c,Human,200,144,72.0,80,40.0,395
c,OpenAI GPT,200,151,75.5,119,59.5,389
c,DeepSeek,200,179,89.5,124,62.0,463
c,Qwen,200,161,80.5,113,56.5,469
c,Claude,200,137,68.5,93,46.5,381
