model,language,metric,mean
claude-opus-4-8,c,nloc_sum,24.0
claude-opus-4-8,c,nloc_mean,23.2964824120603
claude-opus-4-8,c,ccn_sum,6.381909547738694
claude-opus-4-8,c,ccn_mean,6.115577889447236
claude-opus-4-8,c,parameter_count_sum,2.608040201005025
claude-opus-4-8,c,parameter_count_mean,2.540201005025126
claude-opus-4-8,c,max_nesting_depth_sum,1.120603015075377
claude-opus-4-8,c,max_nesting_depth_mean,1.092964824120603
claude-opus-4-8,c,distinct_operators_sum,21.12562814070352
claude-opus-4-8,c,distinct_operators_mean,20.515075376884422
claude-opus-4-8,c,total_operators_sum,108.87939698492463
claude-opus-4-8,c,total_operators_mean,105.34422110552764
claude-opus-4-8,c,distinct_operands_sum,22.326633165829147
claude-opus-4-8,c,distinct_operands_mean,21.78894472361809
claude-opus-4-8,c,total_operands_sum,60.040201005025125
claude-opus-4-8,c,total_operands_mean,58.07035175879397
claude-opus-4-8,c,halstead_volume_sum,936.9685788472895
claude-opus-4-8,c,halstead_volume_mean,907.0539955174847
claude-opus-4-8,c,halstead_difficulty_sum,28.631154489674785
claude-opus-4-8,c,halstead_difficulty_mean,27.507696758572358
claude-opus-4-8,c,halstead_effort_sum,31239.38800644417
claude-opus-4-8,c,halstead_effort_mean,29898.213372921324
claude-opus-4-8,c,maintainability_index_sum,52.08070498493456
claude-opus-4-8,c,maintainability_index_mean,50.55775016585929
claude-opus-4-8,c,function_name_length_mean,15.848780487804879
claude-opus-4-8,c,target_token_count_mean,208.38693467336682
claude-opus-4-8,java,nloc_sum,14.66
claude-opus-4-8,java,nloc_mean,14.52
claude-opus-4-8,java,ccn_sum,3.835
claude-opus-4-8,java,ccn_mean,3.8025
claude-opus-4-8,java,parameter_count_sum,1.585
claude-opus-4-8,java,parameter_count_mean,1.5675
claude-opus-4-8,java,max_nesting_depth_sum,1.505
claude-opus-4-8,java,max_nesting_depth_mean,1.4825
claude-opus-4-8,java,distinct_operators_sum,18.13
claude-opus-4-8,java,distinct_operators_mean,17.8475
claude-opus-4-8,java,total_operators_sum,73.36
claude-opus-4-8,java,total_operators_mean,72.6425
claude-opus-4-8,java,distinct_operands_sum,20.42
claude-opus-4-8,java,distinct_operands_mean,20.1525
claude-opus-4-8,java,total_operands_sum,40.83
claude-opus-4-8,java,total_operands_mean,40.46
claude-opus-4-8,java,halstead_volume_sum,622.4778015687629
claude-opus-4-8,java,halstead_volume_mean,617.092114550535
claude-opus-4-8,java,halstead_difficulty_sum,17.538032833121473
claude-opus-4-8,java,halstead_difficulty_mean,17.347512626354554
claude-opus-4-8,java,halstead_effort_sum,13610.941373597188
claude-opus-4-8,java,halstead_effort_mean,13546.831716275652
claude-opus-4-8,java,maintainability_index_sum,58.557903072019116
claude-opus-4-8,java,maintainability_index_mean,57.245286099935385
claude-opus-4-8,java,function_name_length_mean,12.754901960784315
claude-opus-4-8,java,target_token_count_mean,121.38
claude-opus-4-8,python,nloc_sum,14.175
claude-opus-4-8,python,nloc_mean,13.263000000000002
claude-opus-4-8,python,ccn_sum,3.96
claude-opus-4-8,python,ccn_mean,3.6565
claude-opus-4-8,python,parameter_count_sum,3.335
claude-opus-4-8,python,parameter_count_mean,3.1
claude-opus-4-8,python,max_nesting_depth_sum,1.43
claude-opus-4-8,python,max_nesting_depth_mean,1.3019999999999998
claude-opus-4-8,python,distinct_operators_sum,17.5
claude-opus-4-8,python,distinct_operators_mean,16.061
claude-opus-4-8,python,total_operators_sum,63.875
claude-opus-4-8,python,total_operators_mean,57.76049999999999
claude-opus-4-8,python,distinct_operands_sum,24.395
claude-opus-4-8,python,distinct_operands_mean,22.491499999999995
claude-opus-4-8,python,total_operands_sum,54.215
claude-opus-4-8,python,total_operands_mean,49.43
claude-opus-4-8,python,halstead_volume_sum,650.3137190360319
claude-opus-4-8,python,halstead_volume_mean,587.522620653229
claude-opus-4-8,python,halstead_difficulty_sum,19.091246072930364
claude-opus-4-8,python,halstead_difficulty_mean,17.400696447526116
claude-opus-4-8,python,halstead_effort_sum,14907.447593058137
claude-opus-4-8,python,halstead_effort_mean,12906.769829609064
claude-opus-4-8,python,maintainability_index_sum,63.859095192316516
claude-opus-4-8,python,maintainability_index_mean,58.188790302770556
claude-opus-4-8,python,function_name_length_mean,12.995412844036696
claude-opus-4-8,python,target_token_count_mean,104.325
