model,language,odc,incidence
claude-opus-4-8,c,def_assignment,0.17
claude-opus-4-8,c,def_algorithm,0.23
claude-opus-4-8,c,def_interface,0.41
claude-opus-4-8,c,def_checking,0.105
claude-opus-4-8,c,def_timing,0.125
claude-opus-4-8,c,def_function_class_object,0.045
claude-opus-4-8,java,def_assignment,0.1
claude-opus-4-8,java,def_algorithm,0.25
claude-opus-4-8,java,def_interface,0.02
claude-opus-4-8,java,def_checking,0.4
claude-opus-4-8,java,def_timing,0.11
claude-opus-4-8,java,def_function_class_object,0.035
claude-opus-4-8,python,def_assignment,0.295
claude-opus-4-8,python,def_algorithm,0.015
claude-opus-4-8,python,def_interface,0.33
claude-opus-4-8,python,def_checking,0.195
claude-opus-4-8,python,def_timing,0.0
claude-opus-4-8,python,def_function_class_object,0.01
