author,predictor,outcome,rho_raw,ci_raw_lo,ci_raw_hi,rho_partial,ci_part_lo,ci_part_hi,n
human,sample_nloc,defects_total,0.3086887249939085,0.3053866943140721,0.3119968988271914,nan,nan,nan,280330
human,sample_nloc,def_assignment,0.13756219550990784,0.13388753179248644,0.14093279363704764,nan,nan,nan,280330
human,sample_nloc,def_algorithm,0.2237447462542755,0.220512797086112,0.2271284686546526,nan,nan,nan,280330
human,sample_nloc,def_interface,0.17789264586154352,0.17443757341366323,0.18128144647293462,nan,nan,nan,280330
human,sample_nloc,def_checking,0.11904812600471672,0.11589078471645335,0.12202486926774186,nan,nan,nan,280330
human,sample_nloc,def_timing,0.06312605720920915,0.059691727714888995,0.06672767355046501,nan,nan,nan,280330
human,sample_nloc,def_function_class_object,0.0045405317458720885,0.0010232917373279415,0.00834620253033333,nan,nan,nan,280330
human,sample_nloc,vulns_total,0.1965249135347008,0.1931171959438116,0.19990614520403235,nan,nan,nan,280330
human,sample_nloc,vulns_high_sev,0.11134398935659673,0.10789269792717326,0.11486417511566242,nan,nan,nan,280330
human,nloc,defects_total,0.31198614583069045,0.3088147701631986,0.3152777440644105,0.05367966359510483,0.050449227321555476,0.05700016587312421,280330
human,nloc,def_assignment,0.13860980530756797,0.1350988775210117,0.1419726364000223,0.01813638156910312,0.015297354501887742,0.020986374050321648,280330
human,nloc,def_algorithm,0.2277683225188152,0.22460600298975247,0.23104189711541304,0.056999402440200075,0.054338310495751434,0.05933496362791599,280330
human,nloc,def_interface,0.17986773047323393,0.17642499822281,0.18316884905175765,0.030764304182138068,0.0277369134803778,0.0341174143671081,280330
human,nloc,def_checking,0.1187666652383276,0.11558337130136065,0.1217928302165149,0.002072191422657305,-0.0015420200882369972,0.005395086151349888,280330
human,nloc,def_timing,0.06374024114916933,0.06020673748525067,0.06733408061426059,0.009778069362977709,0.006893313429701646,0.012378410133858219,280330
human,nloc,def_function_class_object,0.0024554826067483674,-0.0010630520046623995,0.006264194289547915,-0.023472445861844698,-0.027578264134390816,-0.01930351720192676,280330
human,nloc,vulns_total,0.19669656007039651,0.19332435768234985,0.20004279053750829,0.010831701420905256,0.007455312665509869,0.01409820874168072,280330
human,nloc,vulns_high_sev,0.11182817915877123,0.10839946287343316,0.11533495305471304,0.01047544148241591,0.007438880616095267,0.013315851924186588,280330
human,ccn,defects_total,0.2664071139977453,0.26292500081014253,0.26958055358539024,0.012731458017408926,0.00901352999709925,0.016159441497475658,280330
human,ccn,def_assignment,0.13041536550884464,0.1270447573903938,0.13361280035217005,0.0273261863191361,0.024082388919799413,0.030460671942251185,280330
human,ccn,def_algorithm,0.2188501151912124,0.21567094117956273,0.22227672025399986,0.05796218656884568,0.05481905748168199,0.06113743545545266,280330
human,ccn,def_interface,0.13126696605829916,0.12758934689796217,0.134674137929116,-0.03482067742175043,-0.03869445731191905,-0.031391953877999305,280330
human,ccn,def_checking,0.12932627010903694,0.1262315678662002,0.13224486291700757,0.05431393286451835,0.05166117388330668,0.05706549440730713,280330
human,ccn,def_timing,0.06021502102303001,0.05658679454933691,0.06364222321867269,0.013129646628443249,0.009878003115498664,0.01607472950035972,280330
human,ccn,def_function_class_object,-0.010844910307823393,-0.01463789736702368,-0.0069409608897466136,-0.027177098914154263,-0.030787423982873045,-0.02364140820408473,280330
human,ccn,vulns_total,0.16885560904036276,0.16552997372024836,0.17243857083998101,0.006443797234128262,0.0026130622743164274,0.009956365288697026,280330
